product_id,product_name,product_category,product_weight_kg,fragility_level,is_liquid,premium_level,material_id,material_name,material_type,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,base_cost_per_unit,shipping_category,region_market,strength_norm,weight_capacity_kg_norm,biodegradability_score_norm,co2_emission_score_norm,recyclability_percent_norm,base_cost_per_unit_norm,co2_impact_index,cost_efficiency_index,material_suitability_score
25,foundation_product_25,foundation,0.103,medium,1,1,69,Bamboo Fiber Compact Case,Wood/Bamboo,6,0.281,83.11,33.4,83.42,9.69,standard,Europe,0.25,0.146054181,0.874842105,0.178638184,0.748577341,0.669,-0.0831,34.48398564,0.161752632
26,eyeliner_product_26,eyeliner,0.191,low,0,2,144,Sugarcane Bioplastic Tube,Bioplastic,6,0.324,62.82,39.34,69.39,5.7,standard,Asia,0.25,0.171378092,0.661263158,0.257943925,0.506639076,0.27,0.04645,17.59259254,0.217378947
27,lip_balm_product_27,lip_balm,0.243,low,0,2,1,Recycled Cardboard Sleeve,Paper/Paperboard,8,0.627,71.13,29.37,81.91,5.01,standard,Other,0.75,0.349823321,0.748736842,0.124833111,0.722538369,0.201,-0.11585,7.990430609,0.464321053
28,lipstick_product_28,lipstick,0.328,low,0,1,101,Molded Pulp Tray,Molded Pulp,8,0.903,86.93,34.33,64.5,6.24,express,Other,0.75,0.512367491,0.915052632,0.19105474,0.422314192,0.324,0.0208,6.910298996,0.477315789
29,serum_product_29,serum,0.119,medium,1,1,90,Paper Tube Lip Balm Container,Paper/Paperboard,5,0.26,72.36,37.08,62.49,4.28,standard,Asia,0,0.13368669,0.761684211,0.22777036,0.387653044,0.128,0.05835,16.4615384,0.190105263
30,cream_product_30,cream,0.354,low,0,2,99,FSC Paperboard Carton,Paper/Paperboard,5,0.823,94.19,33.7,74.82,5.27,fragile,North America,0,0.465253239,0.991473684,0.182643525,0.60027591,0.227,-0.0371,6.403402179,0.229342105
31,lotion_product_31,lotion,0.436,medium,1,2,112,Recycled Cardboard Sleeve,Paper/Paperboard,7,0.994,88.86,22.58,91.59,5.02,standard,Europe,0.5,0.565959953,0.935368421,0.034178905,0.889463701,0.202,-0.23215,5.050301806,0.420010526
32,cream_product_32,cream,0.455,low,0,1,123,Compostable Pouch with Valve,Bioplastic,8,0.876,74.79,32.5,42.75,7.41,standard,Other,0.75,0.496466431,0.787263158,0.166622163,0.047249526,0.441,0.11125,8.4589041,0.403878947
33,lip_balm_product_33,lip_balm,0.074,medium,0,3,76,Double-Walled Acrylic Jar,Plastic,8,0.213,20.45,66.63,54.04,4.47,fragile,Other,0.75,0.106007067,0.215263158,0.622296395,0.241938265,0.147,0.3961,20.98591539,0.320478947
34,toner_product_34,toner,0.06,low,1,2,109,Recycled HDPE Tube,Plastic,8,0.134,10.13,55.4,49.33,6.33,standard,North America,0.75,0.059481743,0.106631579,0.472363151,0.160717365,0.333,0.30735,47.23880562,0.232089474
35,lipstick_product_35,lipstick,0.493,high,0,2,126,Recycled HDPE Tube,Plastic,7,1.225,18.23,61.15,49.95,5.32,standard,Asia,0.5,0.702002355,0.191894737,0.549132176,0.171408864,0.232,0.36175,4.342857139,0.187968421
36,lotion_product_36,lotion,0.376,medium,1,2,56,PETG Lotion Bottle,Plastic,9,0.961,25.42,68.87,54.99,5.14,fragile,North America,1,0.546525324,0.267578947,0.652202937,0.2583204,0.214,0.41375,5.348595208,0.416073684
37,lip_balm_product_37,lip_balm,0.489,high,0,2,146,Rigid Kraft Paper Box,Paper/Paperboard,5,0.896,94.82,21.84,79.38,6.88,standard,Asia,0,0.508244994,0.998105263,0.024299065,0.678910157,0.388,-0.1785,7.67857142,0.183031579
38,serum_product_38,serum,0.498,low,1,2,117,Recycled Glass Perfume Bottle,Glass,8,1.023,2.81,88.51,92.26,8.73,standard,North America,0.75,0.583038869,0.029578947,0.914419226,0.901017417,0.573,0.4238,8.533724332,0.136973684
39,lipstick_product_39,lipstick,0.13,low,0,1,141,Magnetic Closure Paperboard Box,Paper/Paperboard,7,0.432,87.45,33.4,70.83,6.26,standard,Asia,0.5,0.234982332,0.920526316,0.178638184,0.531470943,0.326,-0.02015,14.49074071,0.378357895
40,compact_product_40,compact,0.299,medium,0,3,11,PLA Bioplastic Bottle,Bioplastic,8,0.804,61.36,30.79,51.29,8.24,standard,North America,0.75,0.454063604,0.645894737,0.143791722,0.194516296,0.524,0.05145,10.24875621,0.336568421
41,foundation_product_41,foundation,0.293,high,1,1,102,Frosted Glass Serum Bottle,Glass,6,0.975,0.56,85.94,90.32,12,standard,Asia,0.25,0.554770318,0.005894737,0.880106809,0.867563373,0.9,0.4078,12.3076923,-0.168231579
42,eyeliner_product_42,eyeliner,0.383,medium,0,1,32,Embossed Metal Gift Tin,Aluminum,7,0.61,4.77,85.15,80.26,11.03,standard,Asia,0.5,0.339811543,0.050210526,0.869559413,0.694085187,0.803,0.4502,18.08196718,-0.025836842
43,mascara_product_43,mascara,0.27,medium,0,2,47,Recycled Cardboard Sleeve,Paper/Paperboard,6,0.632,94.2,22.21,87.71,5.36,express,North America,0.25,0.352767962,0.991578947,0.029238985,0.822555613,0.236,-0.21645,8.481012645,0.326673684
44,lip_balm_product_44,lip_balm,0.406,medium,0,3,52,Airless Pump Bottle,Other,6,1.054,53.6,53.73,57.5,8.52,express,Other,0.25,0.601295642,0.564210526,0.450066756,0.301603725,0.552,0.2498,8.083491453,0.103663158
45,serum_product_45,serum,0.163,high,1,2,34,Squeezable Silicone Tube,Plastic,8,0.447,37.43,54.76,50.33,5.84,express,North America,0.75,0.243816254,0.394,0.463818425,0.177961718,0.284,0.29595,13.06487693,0.333
46,lotion_product_46,lotion,0.298,low,1,1,25,Refillable Acrylic Jar,Plastic,9,0.981,19.01,60.93,47.2,6.79,express,Asia,1,0.558303887,0.200105263,0.546194927,0.123986894,0.379,0.3733,6.921508658,0.346331579
47,cream_product_47,cream,0.103,medium,0,1,90,Bamboo Dropper Bottle,Wood/Bamboo,7,0.339,66.2,27.66,54.22,8.3,standard,Asia,0.5,0.180212014,0.696842105,0.10200267,0.245042249,0.53,0.0055,24.48377574,0.250052632
48,serum_product_48,serum,0.174,low,1,1,8,Recycled Glass Perfume Bottle,Glass,7,0.521,1.57,71.32,70.06,11.21,standard,Europe,0.5,0.287396937,0.016526316,0.684913218,0.518192792,0.821,0.3629,21.51631474,-0.041342105
49,lipstick_product_49,lipstick,0.464,medium,0,1,111,Biodegradable PBAT Pouch,Bioplastic,7,1.48,82.42,31.1,47.57,7.85,express,Europe,0.5,0.852179034,0.867578947,0.147930574,0.130367305,0.485,0.07315,5.30405405,0.314773684
50,lotion_product_50,lotion,0.136,medium,1,1,13,Window Cutout Paperboard Box,Paper/Paperboard,5,0.365,91.02,22.23,78.74,3.93,standard,Asia,0,0.195524146,0.958105263,0.029506008,0.667873771,0.093,-0.1714,10.76712326,0.259531579
51,lipstick_product_51,lipstick,0.259,medium,0,1,64,Aluminium Cosmetic Tin,Aluminum,7,0.684,2.82,79.47,82.76,12.4,express,Europe,0.5,0.383392226,0.029684211,0.793724967,0.737196068,0.94,0.3809,18.12865494,-0.073094737
52,mascara_product_52,mascara,0.134,medium,0,1,137,Rigid Kraft Paper Box,Paper/Paperboard,8,0.223,91.27,22.2,88.21,3.22,standard,Asia,0.75,0.111896349,0.960736842,0.029105474,0.831177789,0.022,-0.21905,14.43946182,0.581621053
53,cream_product_53,cream,0.492,medium,0,1,79,Tinted Glass Cream Jar,Aluminum,9,1.264,4.09,76.45,78.93,11.01,standard,Other,1,0.724970553,0.043052632,0.753404539,0.671150198,0.801,0.36985,8.710443031,0.172615789
54,toner_product_54,toner,0.175,low,1,2,100,Wooden Cosmetic Case,Wood/Bamboo,8,0.375,84.75,48.03,53.06,8.53,express,Asia,0.75,0.201413427,0.892105263,0.373965287,0.2250388,0.553,0.215,22.74666661,0.401731579
55,cream_product_55,cream,0.238,low,0,2,143,Paper Tube Lip Balm Container,Paper/Paperboard,8,0.581,90.25,26.37,83.85,6.04,express,Asia,0.75,0.322732626,0.95,0.084779706,0.755992412,0.304,-0.15555,10.39586917,0.4938
56,eyeliner_product_56,eyeliner,0.466,low,0,3,60,Refillable Glass Foundation Bottle,Glass,8,1.484,9.38,65.44,71.66,10.45,fragile,Asia,0.75,0.854534746,0.098736842,0.606408545,0.545783756,0.745,0.2961,7.041778971,0.106121053
57,mascara_product_57,mascara,0.117,medium,0,1,146,Recycled PET Bottle,Plastic,9,0.367,27.18,67.24,52.65,6.35,standard,North America,1,0.196702002,0.286105263,0.630440587,0.217968615,0.335,0.40915,17.30245227,0.385331579
58,eyeliner_product_58,eyeliner,0.242,low,0,1,104,Stackable Sample Pot,Plastic,7,0.665,17.44,51.74,61.27,4.27,express,Europe,0.5,0.372202591,0.183578947,0.423497997,0.366614934,0.127,0.21105,6.421052622,0.216973684
59,cream_product_59,cream,0.321,high,0,1,97,Rigid Kraft Paper Box,Paper/Paperboard,5,0.935,82.39,38.54,80.06,6.99,standard,North America,0,0.531213192,0.867263158,0.247263017,0.690636317,0.399,-0.0149,7.475935821,0.140478947
60,eyeliner_product_60,eyeliner,0.294,low,0,2,15,Paper Tube Lip Balm Container,Paper/Paperboard,6,0.91,83.41,29.47,76,5.42,fragile,Asia,0.25,0.516489988,0.878,0.126168224,0.620624246,0.242,-0.0853,5.956043949,0.2908
61,lip_balm_product_61,lip_balm,0.367,low,0,2,104,Travel-Size Mini Tube,Other,8,0.979,58.65,60.97,73.07,8.8,express,Europe,0.75,0.55712603,0.617368421,0.546728972,0.570098293,0.58,0.24435,8.988764036,0.311210526
62,mascara_product_62,mascara,0.475,medium,0,1,68,Double-Walled Acrylic Jar,Plastic,7,1.463,13.96,61.78,63.72,4.41,express,Europe,0.5,0.842167255,0.146947368,0.557543391,0.408863597,0.141,0.2992,3.014354065,0.20178421
63,lip_balm_product_63,lip_balm,0.39,medium,0,1,149,Recycled PP Compact Case,Plastic,8,0.714,37.7,67.77,58.03,4.45,standard,Asia,0.75,0.40106007,0.396842105,0.637516689,0.310743232,0.145,0.38755,6.232492988,0.375552632
64,lipstick_product_64,lipstick,0.438,high,0,2,35,Double-Walled Acrylic Jar,Plastic,7,1.006,31.05,46.17,71.51,6.41,express,Asia,0.5,0.57302709,0.326842105,0.349132176,0.543197103,0.341,0.10415,6.371769377,0.195752632
65,foundation_product_65,foundation,0.186,high,1,1,88,Magnetic Closure Paperboard Box,Paper/Paperboard,7,0.395,70.82,42.82,68.69,5.31,express,Asia,0.5,0.21319199,0.745473684,0.304405874,0.494568029,0.231,0.08475,13.44303794,0.354342105
66,compact_product_66,compact,0.338,low,0,1,141,Magnetic Closure Paperboard Box,Paper/Paperboard,6,0.776,91.52,33.38,66.46,4.2,fragile,Asia,0.25,0.437573616,0.963368421,0.178371162,0.456113123,0.12,0.0015,5.412371127,0.353010526
67,cream_product_67,cream,0.245,low,0,2,113,Metalized Paperboard Box,Aluminum,9,0.564,0.33,89.39,85.43,10.15,standard,North America,1,0.312720848,0.003473684,0.926168224,0.783238489,0.715,0.46675,17.99645387,0.186542105
68,compact_product_68,compact,0.434,low,0,3,135,Cornstarch Bioplastic Jar,Bioplastic,7,1.223,75.8,54.02,69.37,8.36,standard,Asia,0.5,0.700824499,0.797894737,0.453938585,0.506294189,0.536,0.19335,6.835650035,0.278568421
69,serum_product_69,serum,0.343,low,1,1,88,Sugarcane Bioplastic Tube,Bioplastic,8,1.01,86.62,46.7,61.62,8.22,standard,North America,0.75,0.575382803,0.911789474,0.356208278,0.372650457,0.522,0.1589,8.138613853,0.416936842
70,mascara_product_70,mascara,0.341,low,0,1,147,Molded Pulp Tray,Molded Pulp,7,0.909,85.83,38.4,89.68,3.49,standard,North America,0.5,0.51590106,0.903473684,0.245393858,0.856526987,0.049,-0.0644,3.839383934,0.456342105
71,lotion_product_71,lotion,0.32,high,1,1,53,PCR Plastic Lotion Bottle,Plastic,9,0.668,14.38,58.72,56.38,6.21,fragile,Asia,1,0.373969376,0.151368421,0.516688919,0.28229005,0.321,0.3053,9.296407172,0.349110526
72,lipstick_product_72,lipstick,0.075,medium,0,2,25,Frosted Glass Serum Bottle,Glass,6,0.151,4.85,75.37,88.54,10.19,fragile,Asia,0.25,0.069493522,0.051052632,0.738985314,0.836868426,0.719,0.311,67.48344326,-0.100384211
73,compact_product_73,compact,0.493,high,0,2,34,Frosted Glass Serum Bottle,Glass,8,1.286,8.23,75.89,90.38,8.99,standard,Asia,0.75,0.737926972,0.086631579,0.745927904,0.868598034,0.599,0.307,6.990668735,0.146289474
74,foundation_product_74,foundation,0.119,high,1,1,138,Window Cutout Paperboard Box,Paper/Paperboard,6,0.396,88.3,26.27,82.16,4.98,standard,Other,0.25,0.213780919,0.929473684,0.083444593,0.726849457,0.198,-0.1481,12.57575754,0.319442105
75,toner_product_75,toner,0.269,low,1,1,11,Airless Pump Bottle,Other,7,0.595,33.61,66.98,42.73,8.19,standard,North America,0.5,0.330977621,0.353789474,0.626969292,0.046904639,0.519,0.45615,13.76470586,0.150436842
76,serum_product_76,serum,0.476,medium,1,1,81,Recycled Cardboard Sleeve,Paper/Paperboard,8,1.187,75.37,20.78,69.18,5.38,fragile,Asia,0.75,0.679623086,0.793368421,0.010146862,0.503017762,0.238,-0.1381,4.532434706,0.466610526
77,lotion_product_77,lotion,0.071,medium,1,1,108,Glass Dropper Bottle,Glass,8,0.205,5.98,73.79,71.9,6.47,express,Asia,0.75,0.101295642,0.062947368,0.717890521,0.5499224,0.347,0.3784,31.56097546,0.21478421
78,compact_product_78,compact,0.171,low,0,3,8,Bamboo Mascara Tube,Wood/Bamboo,6,0.475,75.61,30.55,68.97,10.36,fragile,North America,0.25,0.260306242,0.795894737,0.14058745,0.499396448,0.736,-0.03935,21.81052627,0.117968421
79,serum_product_79,serum,0.326,medium,1,3,145,Double-Walled Acrylic Jar,Plastic,9,0.607,39.57,68.32,41.58,6.82,fragile,Europe,1,0.338044758,0.416526316,0.644859813,0.027073633,0.382,0.4753,11.23558482,0.410357895
80,lip_balm_product_80,lip_balm,0.036,high,0,2,146,Frosted Glass Serum Bottle,Glass,7,0.092,4.22,83.86,88.63,6.33,standard,Other,0.5,0.034746761,0.044421053,0.852336449,0.838420417,0.333,0.39545,68.80434708,0.113426316
81,eyeliner_product_81,eyeliner,0.195,medium,0,2,4,Recycled HDPE Tube,Plastic,9,0.601,16.9,61.74,42.61,5.26,standard,North America,1,0.334511189,0.177894737,0.557009346,0.044835316,0.226,0.40435,8.752079852,0.385568421
82,foundation_product_82,foundation,0.445,medium,1,2,96,Refillable Acrylic Jar,Plastic,8,1.378,39.66,40.01,47.42,5.54,standard,Asia,0.75,0.792108362,0.417473684,0.266889186,0.127780652,0.254,0.163,4.0203193,0.349042105
83,eyeliner_product_83,eyeliner,0.213,medium,0,2,65,Travel-Size Mini Tube,Other,7,0.421,45.93,43.21,53.45,6.61,express,North America,0.5,0.228504122,0.483473684,0.309612817,0.231764097,0.361,0.16485,15.70071255,0.236742105
84,cream_product_84,cream,0.429,low,0,2,140,Recycled Glass Perfume Bottle,Glass,6,1.464,9.88,72.83,79.61,10.08,express,Asia,0.25,0.842756183,0.104,0.705073431,0.682876358,0.708,0.33025,6.885245897,-0.0812
85,lip_balm_product_85,lip_balm,0.22,low,0,3,93,Embossed Metal Gift Tin,Aluminum,7,0.616,4.95,88.58,76.49,9.41,fragile,Asia,0.5,0.343345112,0.052105263,0.915353805,0.629073978,0.641,0.50335,15.275974,0.023331579
86,lip_balm_product_86,lip_balm,0.204,low,0,1,122,Aluminium Cosmetic Tin,Aluminum,7,0.52,0.29,94.23,95.33,12.57,fragile,North America,0.5,0.286808009,0.003052632,0.990787717,0.953957579,0.957,0.46565,24.17307688,-0.086184211
87,toner_product_87,toner,0.354,medium,1,1,105,Refillable Glass Foundation Bottle,Glass,6,0.808,5.37,77.79,84.5,6.55,fragile,Asia,0.25,0.456419317,0.056526316,0.77129506,0.767201242,0.355,0.3554,8.106435634,0.010457895
88,foundation_product_88,foundation,0.434,high,1,3,90,Sugarcane Bioplastic Tube,Bioplastic,8,1.113,68.44,37.58,40.15,7.78,express,Europe,0.75,0.636042402,0.720421053,0.234445928,0.002414209,0.478,0.17505,6.990116795,0.372726316
89,lip_balm_product_89,lip_balm,0.496,high,0,1,33,Refillable Acrylic Jar,Plastic,9,1.616,33.86,50.43,67.12,6.26,fragile,Europe,1,0.932273262,0.356421053,0.406008011,0.467494396,0.326,0.1687,3.873762374,0.409126316
90,cream_product_90,cream,0.428,medium,0,3,133,Molded Pulp Tray,Molded Pulp,5,1.396,93.25,22.65,84.46,3.76,express,North America,0,0.802709069,0.981578947,0.035113485,0.766511467,0.076,-0.1958,2.69340974,0.271673684
91,toner_product_91,toner,0.082,high,1,1,46,Tinted Glass Cream Jar,Aluminum,8,0.177,4.16,82.69,75.15,8.72,express,Asia,0.75,0.084805654,0.043789474,0.836715621,0.605966546,0.572,0.45115,49.26553644,0.141536842
92,foundation_product_92,foundation,0.201,low,1,1,60,Recycled HDPE Tube,Plastic,9,0.374,31.64,56.24,78.52,5.37,fragile,Asia,1,0.200824499,0.333052632,0.483578104,0.664080014,0.237,0.1698,14.35828873,0.428815789
93,lip_balm_product_93,lip_balm,0.103,medium,0,2,50,Travel-Size Mini Tube,Other,8,0.358,32.69,60.38,53.84,7.1,fragile,Asia,0.75,0.191401649,0.344105263,0.538851802,0.238489395,0.41,0.3346,19.83240218,0.280231579
94,lipstick_product_94,lipstick,0.204,medium,0,1,4,Refillable Glass Foundation Bottle,Glass,8,0.48,2.53,60.03,73.97,8.81,fragile,Asia,0.75,0.263250883,0.026631579,0.534178905,0.58561821,0.581,0.23045,18.35416663,0.133689474
95,foundation_product_95,foundation,0.416,medium,1,1,92,Recycled Cardboard Sleeve,Paper/Paperboard,8,1.232,86.36,26.83,93.28,3.6,fragile,North America,0.75,0.706124852,0.909052632,0.090921228,0.918606656,0.06,-0.1981,2.92207792,0.554715789
96,lip_balm_product_96,lip_balm,0.152,low,0,3,18,Glass Cosmetic Jar,Glass,8,0.491,7.46,66.01,91.7,10.29,standard,North America,0.75,0.269729093,0.078526316,0.614018692,0.891360579,0.729,0.2016,20.9572301,0.104857895
97,mascara_product_97,mascara,0.393,high,0,2,148,Refillable Metal Compact Case,Aluminum,9,1.216,3.98,77.35,95.97,12.81,fragile,North America,1,0.696702002,0.041894737,0.765420561,0.964993964,0.981,0.29365,10.53453947,0.118268421
98,foundation_product_98,foundation,0.08,low,1,2,72,Refillable Stick Container,Plastic,7,0.17,10.63,59.55,53.04,6.36,standard,Asia,0.5,0.080683157,0.111894737,0.52777036,0.224693913,0.336,0.3303,37.41176449,0.132768421
99,serum_product_99,serum,0.347,medium,1,1,88,Recycled PP Compact Case,Plastic,9,0.622,29.32,65.8,71.19,4.16,fragile,North America,1,0.346878681,0.308631579,0.611214953,0.53767891,0.116,0.30205,6.688102883,0.457789474
100,foundation_product_100,foundation,0.252,low,1,1,77,Recycled Aluminum Deodorant Stick,Aluminum,8,0.418,1.63,82.94,77.02,9.1,standard,North America,0.75,0.226737338,0.017157895,0.840053405,0.638213485,0.61,0.4443,21.77033488,0.122147368
101,compact_product_101,compact,0.292,low,0,2,9,Recycled Cardboard Sleeve,Paper/Paperboard,7,0.985,86.76,43.79,64.35,6.58,fragile,Asia,0.5,0.560659599,0.913263158,0.317356475,0.419727539,0.358,0.11615,6.680203039,0.366578947
102,eyeliner_product_102,eyeliner,0.36,medium,0,3,134,Tinted Glass Cream Jar,Aluminum,8,1.128,3.06,82.11,90.2,10.32,express,North America,0.75,0.644876325,0.032210526,0.828971963,0.865494051,0.732,0.3701,9.148936162,0.090063158
103,toner_product_103,toner,0.099,low,1,2,136,Sugarcane Bioplastic Tube,Bioplastic,6,0.321,74.38,48.47,49.87,6.88,express,Europe,0.25,0.169611307,0.782947368,0.379839786,0.170029315,0.388,0.23535,21.43302174,0.218484211
104,lip_balm_product_104,lip_balm,0.287,medium,0,2,97,Recycled Aluminum Deodorant Stick,Aluminum,7,0.913,2.47,72.04,84.28,8.32,standard,Other,0.5,0.518256772,0.026,0.694526035,0.763407484,0.532,0.299,9.112814886,0.0482
105,serum_product_105,serum,0.22,high,1,3,117,Refillable Stick Container,Plastic,8,0.504,39.57,41.2,74.68,6.31,express,North America,0.75,0.277385159,0.416526316,0.282777036,0.5978617,0.331,0.0386,12.51984125,0.325657895
106,lipstick_product_106,lipstick,0.401,medium,0,2,99,PCR Plastic Lotion Bottle,Plastic,7,1.224,12.37,58.69,65.26,6.93,fragile,Asia,0.5,0.701413427,0.130210526,0.516288385,0.4354199,0.393,0.2606,5.661764701,0.121163158
107,lipstick_product_107,lipstick,0.134,low,0,3,84,Refillable Stick Container,Plastic,7,0.36,20.3,42.92,56.2,6.37,standard,North America,0.5,0.192579505,0.213684211,0.305740988,0.279186067,0.337,0.1482,17.6944444,0.163005263
108,compact_product_108,compact,0.485,low,0,1,80,Recycled HDPE Tube,Plastic,7,1.232,13.3,47.04,75.35,5.77,express,Asia,0.5,0.706124852,0.14,0.360747664,0.609415416,0.277,0.09365,4.683441555,0.1589
109,toner_product_109,toner,0.227,high,1,1,49,Bamboo Fiber Compact Case,Wood/Bamboo,7,0.724,65.87,26.1,75.77,9.32,express,North America,0.5,0.406949352,0.693368421,0.0811749,0.616658044,0.632,-0.11785,12.87292816,0.218410526
